person_id,immigrant_status,age
22445,UK-born,41
29925,UK-born,48
76165,UK-born,43
280165,UK-born,46
469205,UK-born,35
496405,UK-born,50
599765,UK-born,39
665045,UK-born,44
732365,UK-born,40
813285,UK-born,55
1587125,UK-born,60
1898565,UK-born,51
2067205,UK-born,37
2888645,UK-born,37
2893405,UK-born,42
2903605,UK-born,35
3062725,UK-born,40
3620325,missing,40
3663845,UK-born,42
3667245,missing,37
4849085,UK-born,43
4853165,UK-born,55
68009527,UK-born,48
68010887,UK-born,62
68028575,UK-born,34
68029927,UK-born,53
68029931,UK-born,56
68029935,UK-born,29
68029939,UK-born,22
68035367,UK-born,45
68041487,UK-born,56
68041491,UK-born,52
68041495,UK-born,25
68041499,UK-born,22
68044207,UK-born,50
68044211,UK-born,52
68044215,missing,20
68044219,missing,18
68045567,UK-born,64
68049659,UK-born,37
68051011,UK-born,58
68056447,UK-born,63
68056451,UK-born,61
68056455,UK-born,31
68056459,UK-born,26
68056463,UK-born,22
68060527,UK-born,52
68060531,UK-born,53
68060535,missing,20
68061288,UK-born,39
68063247,UK-born,59
68063251,UK-born,61
68063255,UK-born,26
68063927,UK-born,55
68063931,UK-born,58
68063935,UK-born,22
68068007,UK-born,58
68068011,UK-born,59
68068015,UK-born,34
68071407,UK-born,37
68091127,UK-born,52
68091139,UK-born,27
68102695,UK-born,31
68105407,UK-born,59
68105411,Migrant,47
68111527,UK-born,45
68111531,UK-born,45
68112207,UK-born,42
68112211,UK-born,40
68112215,missing,18
68120375,UK-born,46
68121047,UK-born,54
68121051,UK-born,53
68121055,UK-born,30
68121059,UK-born,26
68125127,UK-born,60
68125131,UK-born,35
68125135,UK-born,30
68132607,UK-born,56
68132611,UK-born,58
68132615,UK-born,30
68133289,UK-born,41
68134647,UK-born,51
68136013,UK-born,43
68141447,UK-born,64
68141459,UK-born,25
68142127,UK-born,50
68142131,UK-born,49
68142143,UK-born,22
68142890,UK-born,46
68144847,UK-born,58
68144851,UK-born,50
68144855,missing,20
68149808,UK-born,29
68150967,UK-born,64
68150975,UK-born,37
68155055,UK-born,37
68155059,UK-born,36
68155063,UK-born,33
68155727,UK-born,57
68155731,UK-born,57
68157166,UK-born,41
68157767,UK-born,61
68157771,missing,32
68160489,UK-born,50
68160493,UK-born,32
68163887,UK-born,41
68167967,UK-born,48
68167971,Migrant,48
68167975,UK-born,23
68167979,missing,20
68174767,UK-born,41
68180887,UK-born,56
68180891,UK-born,54
68180895,UK-born,26
68180899,missing,19
68184967,UK-born,52
68184971,UK-born,51
68184975,missing,17
68185647,UK-born,64
68187699,UK-born,33
68188367,UK-born,56
68188375,UK-born,30
68191087,UK-born,64
68191771,UK-born,53
68191775,UK-born,23
68193131,UK-born,38
68193135,UK-born,34
68195847,UK-born,56
68195851,UK-born,52
68197207,UK-born,56
68197211,UK-born,52
68197215,UK-born,28
68197219,UK-born,25
68197223,UK-born,24
68197899,UK-born,31
68197903,UK-born,28
68199247,UK-born,41
68202647,UK-born,51
68214887,UK-born,55
68214891,UK-born,53
68216247,UK-born,52
68216251,UK-born,51
68219647,Migrant,56
68224407,UK-born,46
68227807,UK-born,64
68230527,UK-born,59
68230531,UK-born,28
68230535,UK-born,27
68230539,UK-born,22
68231211,UK-born,58
68231223,UK-born,27
68231227,UK-born,26
68244811,UK-born,61
68245002,missing,16
68247527,UK-born,55
68247531,UK-born,58
68247535,UK-born,30
68247539,UK-born,21
68262487,UK-born,56
68273371,UK-born,59
68288327,UK-born,52
68288331,UK-born,52
68288335,missing,20
68293087,UK-born,58
68293091,UK-born,63
68293095,UK-born,38
68293099,UK-born,35
68293103,UK-born,24
68294451,UK-born,53
68295127,UK-born,54
68295131,UK-born,53
68295135,UK-born,28
68295139,missing,21
68295143,missing,18
68297853,UK-born,41
68297857,UK-born,39
68303287,UK-born,58
68317567,Migrant,47
68320967,UK-born,64
68320975,missing,28
